item1611;Einfacher Leinen-Spitzhut;0.0% Rüstschutz, 0.5 Absorb;0.600 kg, Stoffrüstungen, Stufe 1;1000 Gold
item2028;Verstärkter Adamant-Turmschild;5.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt sehr wenig Erfahrung bis zur Perfektion ;50% Rüstschutz bei Block;80 Behinderung;4.200 kg, Metallrüstungen, Stufe 20;12400 Gold
item2038;Verstärkter Adamant-Drachenschild;14.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt wenig Erfahrung bis zur Perfektion ;60% Rüstschutz bei Block;50 Behinderung;3.200 kg, Metallrüstungen, Stufe 20;12400 Gold
item2048;Verstärkter Adamant-Buckler;5.0% Rüstschutz;Schildblock:  anfangs sehr gering - benötigt sehr viel Erfahrung bis zur Perfektion ;60% Rüstschutz bei Block;10 Behinderung;1.000 kg, Metallrüstungen, Stufe 20;12400 Gold
item2058;Verstärkte Adamant-Tartsche;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt viel Erfahrung bis zur Perfektion ;60% Rüstschutz bei Block;30 Behinderung;1.600 kg, Metallrüstungen, Stufe 20;12400 Gold
item2019;Einfacher Mithril-Rundschild;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt mittlere Menge Erfahrung bis zur Perfektion ;62% Rüstschutz bei Block;40 Behinderung;2.200 kg, Metallrüstungen, Stufe 22;18800 Gold
item2029;Einfacher Mithril-Turmschild;5.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt sehr wenig Erfahrung bis zur Perfektion ;52% Rüstschutz bei Block;80 Behinderung;4.200 kg, Metallrüstungen, Stufe 22;18800 Gold
item2039;Einfacher Mithril-Drachenschild;14.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt wenig Erfahrung bis zur Perfektion ;62% Rüstschutz bei Block;50 Behinderung;3.200 kg, Metallrüstungen, Stufe 22;18800 Gold
item2049;Einfacher Mithril-Buckler;5.0% Rüstschutz;Schildblock:  anfangs sehr gering - benötigt sehr viel Erfahrung bis zur Perfektion ;62% Rüstschutz bei Block;10 Behinderung;1.000 kg, Metallrüstungen, Stufe 22;18800 Gold
item2059;Einfache Mithril-Tartsche;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt viel Erfahrung bis zur Perfektion ;62% Rüstschutz bei Block;30 Behinderung;1.600 kg, Metallrüstungen, Stufe 22;18800 Gold
item2020;Verstärkter Mithril-Rundschild;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt mittlere Menge Erfahrung bis zur Perfektion ;65% Rüstschutz bei Block;40 Behinderung;2.200 kg, Metallrüstungen, Stufe 25;28600 Gold
item2030;Verstärkter Mithril-Turmschild;5.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt sehr wenig Erfahrung bis zur Perfektion ;55% Rüstschutz bei Block;80 Behinderung;4.200 kg, Metallrüstungen, Stufe 25;28600 Gold
item2040;Verstärkter Mithril-Drachenschild;14.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt wenig Erfahrung bis zur Perfektion ;65% Rüstschutz bei Block;50 Behinderung;3.200 kg, Metallrüstungen, Stufe 25;28600 Gold
item2050;Verstärkter Mithril-Buckler;5.0% Rüstschutz;Schildblock:  anfangs sehr gering - benötigt sehr viel Erfahrung bis zur Perfektion ;65% Rüstschutz bei Block;10 Behinderung;1.000 kg, Metallrüstungen, Stufe 25;28600 Gold
item2060;Verstärkte Mithril-Tartsche;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt viel Erfahrung bis zur Perfektion ;65% Rüstschutz bei Block;30 Behinderung;1.600 kg, Metallrüstungen, Stufe 25;28600 Gold
